primaryTitle,Release Date,startYear,month,season,runtimeMinutes,genres,MPAA Rating,is_original,is_franchise,averageRating,numVotes,performance
Minari,12/11/2020,2020,12,Winter,115,Drama,PG-13,1,0,7.4,124316,cinema-hit
Wonder Woman 1984,12/16/2020,2020,12,Winter,151,"Action,Adventure,Fantasy",PG-13,0,1,5.3,309585,cinema-flop
The Father,12/25/2020,2020,12,Winter,97,"Drama,Mystery",PG-13,0,0,8.2,241840,cinema-hit
News of the World,12/25/2020,2020,12,Winter,118,"Action,Adventure,Drama",PG-13,0,0,6.8,100686,cinema-flop
The Marksman,1/15/2021,2021,1,Winter,108,"Action,Drama,Thriller",PG-13,1,0,5.7,48716,cinema-flop
Chaos Walking,2/3/2021,2021,2,Winter,109,"Action,Adventure,Drama",PG-13,0,0,5.7,63090,cinema-flop
Godzilla vs. Kong,3/25/2021,2021,3,Spring,113,"Action,Sci-Fi,Thriller",PG-13,1,1,6.3,265242,cinema-hit
The Unholy,4/2/2021,2021,4,Spring,99,"Drama,Horror,Mystery",PG-13,0,0,5.1,30833,cinema-hit
Voyagers,4/8/2021,2021,4,Spring,108,"Adventure,Mystery,Sci-Fi",PG-13,1,0,5.5,29770,cinema-flop
F9: The Fast Saga,5/20/2021,2021,5,Spring,143,"Action,Crime,Thriller",PG-13,1,1,5.2,178590,cinema-hit
In the Heights,6/10/2021,2021,6,Summer,143,"Drama,Musical,Romance",PG-13,0,0,7.2,55581,cinema-flop
Escape Room: Tournament of Champions,7/1/2021,2021,7,Summer,88,"Action,Adventure,Horror",PG-13,1,1,5.8,67879,cinema-hit
The Tomorrow War,7/2/2021,2021,7,Summer,138,"Action,Adventure,Drama",PG-13,1,0,6.6,251653,cinema-flop
Black Widow,7/7/2021,2021,7,Summer,134,"Action,Adventure,Sci-Fi",PG-13,0,1,6.6,473206,cinema-flop
Old,7/21/2021,2021,7,Summer,108,"Drama,Mystery,Thriller",PG-13,0,0,5.8,182314,cinema-hit
Jungle Cruise,7/28/2021,2021,7,Summer,127,"Action,Adventure,Comedy",PG-13,0,0,6.5,226088,cinema-flop
CODA,8/13/2021,2021,8,Summer,111,"Comedy,Drama,Music",PG-13,0,0,8,204707,cinema-flop
Reminiscence,8/18/2021,2021,8,Summer,116,"Mystery,Romance,Sci-Fi",PG-13,1,0,5.9,70583,cinema-flop
Shang-Chi and the Legend of the Ten Rings,9/1/2021,2021,9,Fall/Autumn,132,"Action,Adventure,Fantasy",PG-13,0,1,7.3,484213,cinema-hit
No Time to Die,9/29/2021,2021,9,Fall/Autumn,163,"Action,Adventure,Thriller",PG-13,0,1,7.3,483802,cinema-hit
Eternals,11/3/2021,2021,11,Fall/Autumn,156,"Action,Adventure,Fantasy",PG-13,0,1,6.2,423836,cinema-flop
Red Notice,11/4/2021,2021,11,Fall/Autumn,118,"Action,Comedy,Thriller",PG-13,1,0,6.3,351936,cinema-flop
King Richard,11/18/2021,2021,11,Fall/Autumn,144,"Biography,Drama,Sport",PG-13,0,0,7.5,169224,cinema-flop
Ghostbusters: Afterlife,11/18/2021,2021,11,Fall/Autumn,124,"Adventure,Comedy,Fantasy",PG-13,1,1,7,239649,cinema-hit
Flee,12/3/2021,2021,12,Winter,89,"Animation,Biography,Documentary",PG-13,0,0,7.9,21057,cinema-flop
West Side Story,12/8/2021,2021,12,Winter,156,"Crime,Drama,Musical",PG-13,0,0,7.1,121997,cinema-flop
Spider-Man: No Way Home,12/14/2021,2021,12,Winter,148,"Action,Adventure,Fantasy",PG-13,0,1,8.1,1006049,cinema-hit
A Journal for Jordan,12/25/2021,2021,12,Winter,131,"Drama,Romance,War",PG-13,0,0,6,3341,cinema-flop
The 355,1/6/2022,2022,1,Winter,122,"Action,Thriller",PG-13,1,0,5.6,43345,cinema-flop
Moonfall,2/3/2022,2022,2,Winter,130,"Action,Adventure,Sci-Fi",PG-13,1,0,5.2,111743,cinema-flop
Death on the Nile,2/9/2022,2022,2,Winter,127,"Crime,Drama,Mystery",PG-13,0,1,6.3,208723,cinema-flop
Marry Me,2/9/2022,2022,2,Winter,112,"Comedy,Music,Romance",PG-13,0,0,6.1,47853,cinema-flop
Blacklight,2/10/2022,2022,2,Winter,104,"Action,Drama,Thriller",PG-13,1,0,4.9,28278,cinema-flop
Uncharted,2/10/2022,2022,2,Winter,116,"Action,Adventure",PG-13,0,0,6.3,296581,cinema-hit
Dog,2/18/2022,2022,2,Winter,83,"Drama,Thriller",PG-13,1,0,7.8,11,cinema-hit
Dog,2/18/2022,2022,2,Winter,101,"Comedy,Drama",PG-13,1,0,6.5,52016,cinema-hit
The Batman,3/1/2022,2022,3,Spring,176,"Action,Crime,Drama",PG-13,0,1,7.8,917367,cinema-hit
The Lost City,3/24/2022,2022,3,Spring,112,"Action,Adventure,Comedy",PG-13,1,0,6.1,175439,cinema-hit
Morbius,3/30/2022,2022,3,Spring,104,"Action,Adventure,Horror",PG-13,0,1,5.1,170419,cinema-flop
Fantastic Beasts: The Secrets of Dumbledore,4/6/2022,2022,4,Spring,142,"Adventure,Fantasy",PG-13,0,1,6.2,191239,cinema-flop
Doctor Strange in the Multiverse of Madness,5/4/2022,2022,5,Spring,126,"Action,Adventure,Fantasy",PG-13,0,1,6.9,539823,cinema-hit
Top Gun: Maverick,5/20/2022,2022,5,Spring,130,"Action,Drama",PG-13,1,1,8.2,847697,cinema-hit
Jurassic World: Dominion,6/1/2022,2022,6,Summer,147,"Action,Adventure,Sci-Fi",PG-13,1,1,5.6,243173,cinema-hit
Elvis,6/22/2022,2022,6,Summer,159,"Biography,Drama,Music",PG-13,0,0,7.3,259512,cinema-hit
Thor: Love and Thunder,7/1/2022,2022,7,Summer,118,"Action,Adventure,Comedy",PG-13,0,1,6.1,456022,cinema-hit
The Gray Man,7/13/2022,2022,7,Summer,122,"Action,Mystery,Thriller",PG-13,0,0,6.5,269903,cinema-flop
Where the Crawdads Sing,7/15/2022,2022,7,Summer,125,"Drama,Mystery,Romance",PG-13,0,0,7.2,156604,cinema-hit
Ticket to Paradise,9/8/2022,2022,9,Fall/Autumn,104,"Comedy,Drama,Romance",PG-13,1,0,6.1,80710,cinema-hit
The Woman King,9/15/2022,2022,9,Fall/Autumn,135,"Action,Drama,History",PG-13,0,0,6.9,82481,cinema-flop
Black Adam,10/19/2022,2022,10,Fall/Autumn,125,"Action,Adventure,Fantasy",PG-13,0,1,6.1,301827,cinema-flop
Black Panther: Wakanda Forever,11/9/2022,2022,11,Fall/Autumn,161,"Action,Adventure,Drama",PG-13,0,1,6.6,365969,cinema-hit
Avatar: The Way of Water,12/9/2022,2022,12,Winter,192,"Action,Adventure,Animation",PG-13,1,1,7.5,603972,cinema-hit
A Man Called Otto,12/25/2022,2022,12,Winter,126,"Comedy,Drama",PG-13,0,0,7.5,207820,cinema-flop
M3GAN,12/28/2022,2022,12,Winter,102,"Horror,Sci-Fi,Thriller",PG-13,1,1,6.3,180162,cinema-hit
80 for Brady,2/3/2023,2023,2,Winter,98,"Comedy,Drama,Sport",PG-13,0,0,5.9,13872,cinema-flop
Ant-Man and the Wasp: Quantumania,2/15/2023,2023,2,Winter,124,"Action,Adventure,Comedy",PG-13,0,1,6,266581,cinema-flop
Jesus Revolution,2/24/2023,2023,2,Winter,120,"Biography,Drama,History",PG-13,0,0,7.1,16465,cinema-hit
Creed III,3/1/2023,2023,3,Spring,116,"Action,Drama,Sport",PG-13,1,1,6.7,106096,cinema-hit
Dungeons & Dragons: Honor Among Thieves,3/2/2023,2023,3,Spring,134,"Action,Adventure,Comedy",PG-13,0,0,7.2,271570,cinema-flop
65,3/9/2023,2023,3,Spring,93,"Action,Adventure,Sci-Fi",PG-13,1,0,5.4,105530,cinema-flop
Shazam! Fury of the Gods,3/15/2023,2023,3,Spring,130,"Action,Adventure,Comedy",PG-13,0,1,5.9,144080,cinema-flop
Knights of the Zodiac,3/25/2023,2023,3,Spring,112,"Action,Adventure,Drama",PG-13,1,0,4.4,17981,cinema-flop
His Only Son,3/30/2023,2023,3,Spring,106,"Drama,History",PG-13,0,0,5.9,2923,cinema-hit
