,Title,Release date,Genre,runTime,distributor,averageRating,numVotes,tconst,MPAA_Rating,is_sequel,is_franchise,is_adaptation,is_remake,budget,revenue,is_original,total_weeks,performance
136,Malcolm & Marie,2021-02-05,Romantic drama,106,Streaming,6.6,43258.0,tt12676326,R,0,0,0,0,2500000,0,original,0.0,Streaming-flop
137,Space Sweepers,2021-02-05,Science fiction,136,Streaming,6.5,30938.0,tt12838766,R,0,0,0,0,21000000,24571,original,0.0,Streaming-flop
138,The Misadventures of Hedi and Cokeman,2021-02-10,Comedy,99,Streaming,4.5,838.0,tt13669344,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
139,Red Dot,2021-02-11,Thriller,86,Streaming,5.5,15814.0,tt11307814,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
140,Squared Love,2021-02-11,Romantic comedy,102,Streaming,5.1,4073.0,tt13846542,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
141,To All the Boys: Always and Forever,2021-02-12,Romantic comedy,115,Streaming,6.3,39005.0,tt10676012,PG-13,0,0,0,0,0,0,original,0.0,Streaming-flop
142,Geez & Ann,2021-02-25,Romantic drama,105,Streaming,5.2,367.0,tt11936782,PG,0,0,0,0,0,0,original,0.0,Streaming-flop
143,Crazy About Her,2021-02-26,Romantic comedy,102,Streaming,6.6,6906.0,tt11698630,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
144,The Girl on the Train,2021-02-26,Thriller,120,Streaming,4.0,15344.0,tt8907992,Not Rated,0,1,0,1,0,0,non-original,0.0,Streaming-flop
145,Moxie,2021-03-03,Drama,111,Streaming,6.7,30503.0,tt6432466,PG-13,0,0,0,0,0,0,original,0.0,Streaming-flop
146,Sentinelle,2021-03-05,Action,80,Streaming,4.8,9164.0,tt11734264,NR,0,0,0,0,6500000,0,original,0.0,Streaming-flop
147,Yes Day,2021-03-12,Comedy,89,Streaming,5.7,34559.0,tt8521876,PG,0,0,0,0,0,0,original,0.0,Streaming-flop
148,Paper Lives,2021-03-12,Drama,97,Streaming,6.6,14922.0,tt13045890,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
149,Get the Goat,2021-03-18,Comedy,98,Streaming,6.0,2174.0,tt14111726,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
150,Caught by a Wave,2021-03-25,Romantic teen drama,99,Streaming,5.8,1685.0,tt12013758,NR,0,0,0,0,2000000,0,original,0.0,Streaming-flop
151,A Week Away,2021-03-26,Christian musical,97,Streaming,5.8,5990.0,tt11388278,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
152,Bad Trip,2021-03-26,Hidden-camera prank comedy,86,Streaming,6.5,28930.0,tt9684220,R,0,0,0,0,0,0,original,0.0,Streaming-flop
153,Pagglait,2021-03-26,Comedy drama,114,Streaming,6.9,11949.0,tt11142762,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
154,Tersanjung the Movie,2021-04-01,Drama,114,Streaming,,,,,0,0,0,0,0,0,original,0.0,Streaming-flop
155,Concrete Cowboy,2021-04-02,Drama,111,Streaming,,,,,0,0,0,0,0,0,original,0.0,Streaming-flop
156,Just Say Yes,2021-04-02,Romantic comedy,97,Streaming,4.6,2247.0,tt12154638,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
157,Madame Claude,2021-04-02,Drama,112,Streaming,5.5,4420.0,tt10307724,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
158,Have You Ever Seen Fireflies?,2021-04-09,Comedy,114,Streaming,6.2,5991.0,tt13317694,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
159,Night in Paradise,2021-04-09,Drama,132,Streaming,,,,,0,0,0,0,0,0,original,0.0,Streaming-flop
160,Thunder Force,2021-04-09,Superhero comedy,107,Streaming,4.6,48257.0,tt10121392,PG-13,0,0,0,0,0,0,original,0.0,Streaming-flop
161,Prime Time,2021-04-14,Thriller,92,Streaming,5.2,2083.0,tt11460976,R,0,0,0,0,0,0,original,1.0,Streaming-flop
162,Ride or Die,2021-04-15,Psychological thriller drama,142,Streaming,5.6,3001.0,tt14164234,R,0,0,0,0,0,0,original,0.0,Streaming-flop
163,Ajeeb Daastaans,2021-04-16,Drama,142,Streaming,6.7,7187.0,tt14091818,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
164,Get the Grift,2021-04-28,Comedy,95,Streaming,5.4,932.0,tt14371060,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
165,Things Heard & Seen,2021-04-29,Horror,121,Streaming,5.3,40218.0,tt10962368,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
166,The Disciple,2021-04-30,Drama,128,Streaming,,,,,0,0,0,0,0,0,original,0.0,Streaming-flop
167,Milestone,2021-05-07,Drama,97,Streaming,,,,,0,0,0,0,0,0,original,0.0,Streaming-flop
168,Monster,2021-05-07,Drama,99,Streaming,,,,,0,0,0,0,0,0,original,2.0,Streaming-flop
169,Oxygen,2021-05-12,Science fiction thriller,101,Streaming,6.5,47900.0,tt6341832,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
170,Ferry,2021-05-14,Crime drama,107,Streaming,7.0,15130.0,tt14217100,R,0,0,0,0,0,0,original,1.0,Streaming-flop
171,I Am All Girls,2021-05-14,Thriller,107,Streaming,6.0,7906.0,tt9013182,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
172,The Woman in the Window,2021-05-14,Psychological thriller,101,Streaming,5.7,89605.0,tt6111574,R,0,0,0,0,40000000,0,original,0.0,Streaming-flop
173,Sardar Ka Grandson,2021-05-18,Comedy,139,Streaming,4.3,5505.0,tt11213600,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
174,Army of the Dead,2021-05-21,Zombie/heist,148,Streaming,5.8,199954.0,tt0993840,R,0,0,0,0,90000000,190700000,original,3.0,Streaming-flop
175,Baggio: The Divine Ponytail,2021-05-26,Biopic,92,Streaming,6.1,5646.0,tt14025788,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
176,Ghost Lab,2021-05-26,Horror,117,Streaming,5.2,1837.0,tt13446126,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
177,Blue Miracle,2021-05-27,Drama,96,Streaming,6.6,8691.0,tt7084386,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
178,Carnaval,2021-06-02,Comedy,95,Streaming,4.2,1120.0,tt14074470,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
179,Dancing Queens,2021-06-03,Drama,111,Streaming,5.8,2361.0,tt13032716,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
180,Sweet & Sour,2021-06-04,Romantic drama,102,Streaming,6.6,4000.0,tt14599938,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
181,Trippin' with the Kandasamys,2021-06-04,Comedy,93,Streaming,5.3,479.0,tt14611368,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
