,Title,Release date,Year,Month,Season,runTime,Genre,MPAA_Rating,is_original,is_franchise,averageRating,numVotes,total_weeks,performance
195,A Classic Horror Story,7/14/2021,2021,7,Summer,95,Horror,NC-17,0,0,5.7,24556,2,Streaming-flop
196,A Perfect Fit,7/15/2021,2021,7,Summer,112,Romantic comedy / drama,Not Rated,0,0,5.4,792,3,Streaming-flop
197,My Amanda,7/15/2021,2021,7,Summer,89,Romance,Not Rated,0,0,5.9,420,0,Streaming-flop
198,Deep,7/16/2021,2021,7,Summer,101,Science fiction,Not Rated,0,0,5,2053,1,Streaming-flop
199,Fear Street Part 3: 1666,7/16/2021,2021,7,Summer,114,Supernatural horror,,0,0,,,3,Streaming-flop
200,Blood Red Sky,7/23/2021,2021,7,Summer,123,Thriller,Not Rated,0,0,6.1,60080,16,Streaming-hit
201,Bankrolled,7/23/2021,2021,7,Summer,97,Comedy,Not Rated,0,0,4.2,376,0,Streaming-flop
202,Bartkowiak,7/28/2021,2021,7,Summer,91,Action,Not Rated,0,0,5.1,1553,3,Streaming-flop
203,Resort to Love,7/29/2021,2021,7,Summer,101,Romantic comedy,Not Rated,0,0,5.7,7402,4,Streaming-hit
204,The Last Mercenary,7/30/2021,2021,7,Summer,112,Action comedy,Not Rated,0,0,5.3,10404,6,Streaming-hit
205,The Kissing Booth 3,8/11/2021,2021,8,Summer,113,Comedy drama,PG-13,0,1,4.8,26538,3,Streaming-flop
206,Beckett,8/13/2021,2021,8,Summer,110,Action thriller,R,0,0,5.7,30468,2,Streaming-flop
207,Black Island,8/18/2021,2021,8,Summer,104,Thriller,Not Rated,0,0,5.2,3707,3,Streaming-flop
208,The Secret Diary of an Exchange Student,8/18/2021,2021,8,Summer,96,Romantic comedy,Not Rated,0,0,5.5,1202,4,Streaming-hit
209,Sweet Girl,8/20/2021,2021,8,Summer,110,Action,R,0,0,5.5,37965,4,Streaming-hit
210,The Loud House Movie,8/20/2021,2021,8,Summer,87,Animation comedy,G,0,0,6,3454,3,Streaming-flop
211,The Witcher: Nightmare of the Wolf,8/23/2021,2021,8,Summer,83,Animated dark fantasy,R,0,0,7.2,54885,1,Streaming-flop
212,He's All That,8/27/2021,2021,8,Summer,91,Teen romantic comedy,Not Rated,1,1,4.4,32215,3,Streaming-flop
213,Afterlife of the Party,9/2/2021,2021,9,Fall/Autumn,109,Comedy,Not Rated,0,0,5.8,11657,3,Streaming-flop
214,JJ+E,9/8/2021,2021,9,Fall/Autumn,91,Romance,Not Rated,0,0,5.4,2911,2,Streaming-flop
215,Kate,9/10/2021,2021,9,Fall/Autumn,106,Action thriller,R,0,0,6.3,76505,4,Streaming-hit
216,Prey,9/10/2021,2021,9,Fall/Autumn,87,Thriller,Not Rated,0,0,4.4,10282,3,Streaming-flop
217,Nightbooks,9/15/2021,2021,9,Fall/Autumn,100,Fantasy/horror,NR,0,0,5.8,11480,2,Streaming-flop
218,Ankahi Kahaniya,9/17/2021,2021,9,Fall/Autumn,110,Anthology film,Not Rated,0,0,5.6,1070,1,Streaming-flop
219,Confessions of an Invisible Girl,9/22/2021,2021,9,Fall/Autumn,91,Drama,Not Rated,0,0,5.3,1603,5,Streaming-hit
220,Intrusion,9/22/2021,2021,9,Fall/Autumn,93,Thriller,Not Rated,0,0,5.3,24484,2,Streaming-flop
221,The Starling,9/24/2021,2021,9,Fall/Autumn,104,Comedy drama,PG-13,0,0,6.4,16954,2,Streaming-flop
222,Friendzone,9/29/2021,2021,9,Fall/Autumn,88,Romantic comedy,Not Rated,0,0,5.9,4857,5,Streaming-hit
223,No One Gets Out Alive,9/29/2021,2021,9,Fall/Autumn,85,Horror,R,0,0,5.4,24348,1,Streaming-flop
224,Sounds Like Love,9/29/2021,2021,9,Fall/Autumn,110,Romantic comedy,Not Rated,0,0,5.4,3013,2,Streaming-flop
225,Diana: The Musical,10/1/2021,2021,10,Fall/Autumn,117,Musical,,0,0,,,0,Streaming-flop
226,Forever Rich,10/1/2021,2021,10,Fall/Autumn,90,Thriller,R,0,0,5.6,1827,2,Streaming-flop
227,Swallow,10/1/2021,2021,10,Fall/Autumn,128,Drama,Not Rated,0,0,4.1,246,0,Streaming-flop
228,The Guilty,10/1/2021,2021,10,Fall/Autumn,91,Thriller,R,1,1,6.3,173014,4,Streaming-hit
229,There's Someone Inside Your House,10/6/2021,2021,10,Fall/Autumn,96,Slasher,NR,0,0,4.9,22332,2,Streaming-flop
230,Grudge,10/8/2021,2021,10,Fall/Autumn,106,Thriller,Not Rated,0,0,5.5,5216,5,Streaming-hit
231,"My Brother, My Sister",10/8/2021,2021,10,Fall/Autumn,110,Drama,Not Rated,0,0,6.1,1294,3,Streaming-flop
232,Bright: Samurai Soul,10/12/2021,2021,10,Fall/Autumn,80,Anime/fantasy,PG-13,0,0,5.5,1253,0,Streaming-flop
233,Fever Dream,10/13/2021,2021,10,Fall/Autumn,93,Drama,R,0,0,5.4,2686,1,Streaming-flop
234,Operation Hyacinth,10/13/2021,2021,10,Fall/Autumn,112,Drama,Not Rated,0,0,6.8,4984,0,Streaming-flop
235,A World Without,10/14/2021,2021,10,Fall/Autumn,107,Science fiction / teen drama,Not Rated,0,0,3.9,484,0,Streaming-flop
236,The Four of Us,10/15/2021,2021,10,Fall/Autumn,88,Comedy,Not Rated,0,0,5.4,1683,2,Streaming-flop
237,Night Teeth,10/20/2021,2021,10,Fall/Autumn,108,Thriller,R,0,0,5.7,24208,2,Streaming-flop
238,Stuck Together,10/20/2021,2021,10,Fall/Autumn,126,Comedy,Not Rated,0,0,6.3,8439,4,Streaming-hit
239,Little Big Mouth,10/22/2021,2021,10,Fall/Autumn,94,Romantic comedy,Not Rated,0,0,4.3,228,0,Streaming-flop
240,Hypnotic,10/27/2021,2021,10,Fall/Autumn,89,Thriller,Not Rated,0,0,5.3,22061,2,Streaming-flop
241,Nobody Sleeps in the Woods Tonight Part 2,10/27/2021,2021,10,Fall/Autumn,97,Horror,,0,0,,,0,Streaming-flop
242,Army of Thieves,10/29/2021,2021,10,Fall/Autumn,129,Romantic comedy / heist,R,0,0,6.4,97270,4,Streaming-hit
243,The Harder They Fall,11/3/2021,2021,11,Fall/Autumn,139,Western,R,0,0,6.6,77109,3,Streaming-flop
244,Love Hard,11/5/2021,2021,11,Fall/Autumn,106,Romantic comedy,Not Rated,0,0,6.3,68436,5,Streaming-hit
245,Meenakshi Sundareshwar,11/5/2021,2021,11,Fall/Autumn,141,Romantic comedy,Not Rated,0,0,6.6,18995,3,Streaming-flop
246,We Couldn't Become Adults,11/5/2021,2021,11,Fall/Autumn,124,Drama,Not Rated,0,0,6.5,1203,0,Streaming-flop
247,Yara,11/5/2021,2021,11,Fall/Autumn,96,Drama,Not Rated,0,0,6.3,7447,4,Streaming-hit
248,Father Christmas Is Back,11/7/2021,2021,11,Fall/Autumn,105,Comedy,Not Rated,0,0,4.6,8240,1,Streaming-flop
249,Happiness Ever After,11/10/2021,2021,11,Fall/Autumn,99,Romantic drama,R,0,1,4.7,221,0,Streaming-flop
