Title,Release date,Year,Month,Season,runTime,Genre,MPAA_Rating,is_original,is_franchise,averageRating,numVotes,performance,Original,Franchise
The 8th Night,7/2/2021,2021,7,Summer,115,Thriller film,Not Rated,0,0,5.4,5292,Streaming-flop,Non-Original,Non-Francise
Haseen Dillruba,7/2/2021,2021,7,Summer,135,Romantic thriller,R,0,0,6.9,34939,Streaming-hit,Non-Original,Non-Francise
Last Summer,7/9/2021,2021,7,Summer,101,Romantic drama,Not Rated,0,0,6.2,4209,Streaming-flop,Non-Original,Non-Francise
A Classic Horror Story,7/14/2021,2021,7,Summer,95,Horror,NC-17,0,0,5.7,24556,Streaming-flop,Non-Original,Non-Francise
A Perfect Fit,7/15/2021,2021,7,Summer,112,Romantic comedy / drama,Not Rated,0,0,5.4,792,Streaming-flop,Non-Original,Non-Francise
My Amanda,7/15/2021,2021,7,Summer,89,Romance,Not Rated,0,0,5.9,420,Streaming-flop,Non-Original,Non-Francise
Deep,7/16/2021,2021,7,Summer,101,Science fiction,Not Rated,0,0,5,2053,Streaming-flop,Non-Original,Non-Francise
Blood Red Sky,7/23/2021,2021,7,Summer,123,Thriller,Not Rated,0,0,6.1,60080,Streaming-hit,Non-Original,Non-Francise
Bankrolled,7/23/2021,2021,7,Summer,97,Comedy,Not Rated,0,0,4.2,376,Streaming-flop,Non-Original,Non-Francise
Bartkowiak,7/28/2021,2021,7,Summer,91,Action,Not Rated,0,0,5.1,1553,Streaming-flop,Non-Original,Non-Francise
Resort to Love,7/29/2021,2021,7,Summer,101,Romantic comedy,Not Rated,0,0,5.7,7402,Streaming-hit,Non-Original,Non-Francise
The Last Mercenary,7/30/2021,2021,7,Summer,112,Action comedy,Not Rated,0,0,5.3,10404,Streaming-hit,Non-Original,Non-Francise
The Kissing Booth 3,8/11/2021,2021,8,Summer,113,Comedy drama,PG-13,0,1,4.8,26538,Streaming-flop,Non-Original,Francise
Beckett,8/13/2021,2021,8,Summer,110,Action thriller,R,0,0,5.7,30468,Streaming-flop,Non-Original,Non-Francise
Black Island,8/18/2021,2021,8,Summer,104,Thriller,Not Rated,0,0,5.2,3707,Streaming-flop,Non-Original,Non-Francise
The Secret Diary of an Exchange Student,8/18/2021,2021,8,Summer,96,Romantic comedy,Not Rated,0,0,5.5,1202,Streaming-hit,Non-Original,Non-Francise
Sweet Girl,8/20/2021,2021,8,Summer,110,Action,R,0,0,5.5,37965,Streaming-hit,Non-Original,Non-Francise
The Loud House Movie,8/20/2021,2021,8,Summer,87,Animation comedy,G,0,0,6,3454,Streaming-flop,Non-Original,Non-Francise
The Witcher: Nightmare of the Wolf,8/23/2021,2021,8,Summer,83,Animated dark fantasy,R,0,0,7.2,54885,Streaming-flop,Non-Original,Non-Francise
He's All That,8/27/2021,2021,8,Summer,91,Teen romantic comedy,Not Rated,1,1,4.4,32215,Streaming-flop,Original,Francise
Afterlife of the Party,9/2/2021,2021,9,Fall/Autumn,109,Comedy,Not Rated,0,0,5.8,11657,Streaming-flop,Non-Original,Non-Francise
JJ+E,9/8/2021,2021,9,Fall/Autumn,91,Romance,Not Rated,0,0,5.4,2911,Streaming-flop,Non-Original,Non-Francise
Kate,9/10/2021,2021,9,Fall/Autumn,106,Action thriller,R,0,0,6.3,76505,Streaming-hit,Non-Original,Non-Francise
Prey,9/10/2021,2021,9,Fall/Autumn,87,Thriller,Not Rated,0,0,4.4,10282,Streaming-flop,Non-Original,Non-Francise
Nightbooks,9/15/2021,2021,9,Fall/Autumn,100,Fantasy/horror,NR,0,0,5.8,11480,Streaming-flop,Non-Original,Non-Francise
Ankahi Kahaniya,9/17/2021,2021,9,Fall/Autumn,110,Anthology film,Not Rated,0,0,5.6,1070,Streaming-flop,Non-Original,Non-Francise
Confessions of an Invisible Girl,9/22/2021,2021,9,Fall/Autumn,91,Drama,Not Rated,0,0,5.3,1603,Streaming-hit,Non-Original,Non-Francise
